10048-99-4: Ba@[1],Hg@[1],I@[4]
13718-50-8: Ba@[1],I@[2]
7787-33-9: Ba@[1],I@[2],H@[4],O@[2]
7787-35-1: Ba@[1],Mn@[1],O@[4]
7787-36-2: Ba@[1],Mn@[2],O@[8]
7787-37-3: Ba@[1],Mo@[1],O@[4]
13465-94-6: Ba@[1],N@[2],O@[4]
10022-31-8: Ba@[1],N@[2],O@[6]
18810-58-7: Ba@[1],N@[6]
12009-14-2: Ba@[1],Nb@[2],O@[6]
1304-28-5: Ba@[1],O@[1]
17194-00-2: Ba@[1],O@[2],H@[2]
1304-29-6: Ba@[1],O@[2]
13466-20-1: Ba@[1],P@[2],O@[6]
13768-52-0: Ba@[1],Re@[2],O@[8]
21109-95-5: Ba@[1],S@[1]
2092-17-3: Ba@[1],S@[2],C@[2],N@[2]
7787-39-5: Ba@[1],S@[1],O@[3]
7727-43-7: Ba@[1],S@[1],O@[4]
35112-53-9: Ba@[1],S@[2],O@[3]
1304-39-8: Ba@[1],Se@[1]
13718-59-7: Ba@[1],Se@[1],O@[3]
7787-41-9: Ba@[1],Se@[1],O@[4]
17125-80-3: Ba@[1],Si@[1],F@[6]
13255-26-0: Ba@[1],Si@[1],O@[3]
1304-40-1: Ba@[1],Si@[2]
12650-28-1: Ba@[1],Si@[2],O@[5]
12009-18-6: Ba@[1],Sn@[1],O@[3]
12047-27-7: Ba@[1],Ti@[1],O@[3]
22652-39-7: Ba@[1],V@[2],O@[6]
7787-42-0: Ba@[1],W@[1],O@[4]
12009-21-1: Ba@[1],Zr@[1],O@[3]
13466-21-2: Ba@[2],P@[2],O@[7]
12345-14-1: Ba@[2],Cr@[2],O@[7]
12047-79-9: Ba@[3],N@[2]
39416-30-3: Ba@[3],V@[2],O@[8]
120041-06-7: Be@[1],Al@[2],O@[4]
17440-85-6: Be@[1],B@[2],H@[8]
12228-40-9: Be@[1],B@[2]
7787-46-4: Be@[1],Br@[2]
1111-71-3: Be@[1],C@[2],H@[2],O@[4]
543-81-7: Be@[1],C@[4],H@[6],O@[4]
10210-64-7: Be@[1],C@[10],H@[14],O@[4]
7787-47-5: Be@[1],Cl@[2]
7787-49-7: Be@[1],F@[2]
